     19 2013-02
     11 2013-03
      8 2013-04
     31 2013-05
     24 2013-06
      7 2013-07
      4 2013-08
     20 2013-09
     15 2013-10
     12 2013-11
     12 2013-12
     20 2014-01
     15 2014-02
     13 2014-03
     20 2014-04
     23 2014-05
      9 2014-06
     17 2014-07
     14 2014-08
     23 2014-09
     13 2014-10
     12 2014-11
     10 2014-12
     15 2015-01
     16 2015-02
     18 2015-03
      6 2015-04
     10 2015-05
     14 2015-06
      7 2015-07
     15 2015-08
     12 2015-09
     50 2015-10
     26 2015-11
      9 2015-12
     36 2016-01
     12 2016-02
      2 2016-03
