	#806	2016/02/12	"Rute Santos"	"MH-11306-job-dispatch-order (develop)"	opencast-community/matterhorn	t/MH-11306-job-dispatch-order-…	develop	"Basil Brunner (17)"
D	#805	2016/02/12	"Rute Santos"	"MH-11306-job-dispatch-order (develop)"	opencast-community/matterhorn	t/MH-11306-job-dispatch-order	develop	
	#804	2016/02/12	"Rute Santos"	MH-11306-job-dispatch-order-1.7.x	opencast-community/matterhorn	t/MH-11306-job-dispatch-order-…	r/1.7.x	
M	#803	2016/02/12	"Lars Kiesow"	"MH-11301 Typo error at ng-partial-publish workflow"	lkiesow/matterhorn	t/mh-11301-workflow-typo	r/2.1.x	"Ruben Perez Vazquez (19)"
M	#802	2016/02/06	"Sven Stauber"	"MH-11304 Documentation for WOH partial-import and load …"	staubesv/switch-opencast	t/MH-11305-list-all-pages-in-p…	develop	"Lars Kiesow (26)"
D	#801	2016/02/06	"Sven Stauber"	"MH-11304 Documentation for WOH partial-import is not linked …"	staubesv/switch-opencast	t/MH-11304-fix-missing-woh-par…	develop	
M	#800	2016/02/05	"Paul Pettit"	"MH-11283 Fix mediapackage returned by post-mediapackage WOH"	ppettit/matterhorn	t/MH-11283-post-mediapackage-W…	develop	"Lars Kiesow (26)"
M	#799	2016/02/05	"Stefanos Georgopoulos"	"MH-11301 Typo error at ng-partial-publish workflow"	stefanosgeo13/matterhorn	MH-11301-Typo-error-at-ng-part…	develop	"Lars Kiesow (26)"
M	#798	2016/02/04	"Sven Stauber"	"MH-11300 WOH partial-import looses partial audio tracks …"	staubesv/switch-opencast	t/MH-11300-partial-import-lost…	develop	"Rüdiger Rolf (9)"
	#797	2016/02/04	"Lars Kiesow"	"MH-10869, ActiveMQ Configuration and Connection Problems"	lkiesow/matterhorn	t/MH-10869-message-broker-fixe…	r/2.1.x	"Tobias M Schiebeck (4)"
M	#796	2016/02/03	"Lars Kiesow"	"MH-11298, Fix json-simple version specification"	lkiesow/matterhorn	t/MH-11298-json-simple-version	r/2.1.x	"Lukas Rohner (24)"
M	#795	2016/02/03	"Jay Luker"	"MH-11295 create new, local readBuffer for each chunk"	lbjay/matterhorn	t/MH-11295-file-upload-corrupt…	r/1.7.x	"Rüdiger Rolf (30)"
M	#794	2016/02/03	"Jay Luker"	"MH-11295 create new, local readBuffer for each chunk"	lbjay/matterhorn	t/MH-11295-file-upload-corrupt…	r/1.6.x	"Rüdiger Rolf (30)"
M	#793	2016/02/02	"Karen Dolan"	"T/mh 11296 lti post context 2.1.x"	kdolan/matterhorn-opencast	t/MH-11296-LTI-post-context-2.…	r/2.1.x	"Lukas Rohner (24)"
M	#792	2016/02/02	"Jay Luker"	"MH-11295 create new, local readBuffer for each chunk"	lbjay/matterhorn	t/MH-11295-file-upload-corrupt…	r/2.1.x	"Lars Kiesow (31)"
D	#791	2016/01/29	"Jay Luker"	"MH-11295 create new, local readBuffer for each chunk"	lbjay/matterhorn	t/MH-11295-file-upload-corrupt…	develop	
D	#790	2016/01/28	"James Perrin"	"MH-11293, Fix old Nexus Dependencies"	jperrin/matterhorn	t/MH-11293-fix-old-nexus-deps-…	r/1.7.x	"Lars Kiesow (36)"
M	#789	2016/01/28	"James Perrin"	"MH-11293, Fix old Nexus Dependencies"	jperrin/matterhorn	t/MH-11293-fix-old-nexus-deps-…	r/1.6.x	"Lars Kiesow (36)"
M	#788	2016/01/26	"Simon Hötten"	"MH-11121, update the Mac OSX installation guide to reflect …"	shoetten/matterhorn-fork	t/MH-11121-update-osx-install-…	r/2.1.x	"Lukas Rohner (24)"
M	#787	2016/01/25	"Lars Kiesow"	"Updated Installation From RPM"	lkiesow/matterhorn	t/rpm-guides	r/2.1.x	"Greg Logan (9)"
M	#786	2016/01/25	"Rute Santos"	"MH-11288-update-java-version-pom Updated minimum version to …"	hudcede/opencast-matterhorn-fork-1.7	t/MH-11288-update-java-version…	r/1.7.x	"Michael Stypa (38)"
M	#785	2016/01/25	"Lars Kiesow"	"MH-11287, Update Apereo/Apache License Documentation"	lkiesow/matterhorn	t/MH-11287-license-docs	r/2.1.x	"Ruben Perez Vazquez (36)"
	#784	2016/01/22	"Ruben Perez Vazquez"	"LDAP Authentication for 2.1.x"	uni-koeln/matterhorn-uni-k-ln	t/MH-8577-ldap-auth-2.1.x	r/2.1.x	"James Perrin (3)"
	#783	2016/01/20	"Rüdiger Rolf"	"MH-11285 added documentation for remote debugging."	opencast-community/matterhorn	t/MH-11285-karaf-remote-debugg…	develop	"Ruben Perez Vazquez (37)"
D	#782	2016/01/19	"Simon Hötten"	"MH-11284, update the Mac OSX installation guide to reflect …"	shoetten/matterhorn-fork	t/MH-11284-update-osx-install-…	develop	
M	#781	2016/01/19	"Karen Dolan"	"MH-11220 SearchQuery searchByDescription typo fix"	kdolan/matterhorn-opencast	t/MH-11220-SearchQuery-searchB…	r/2.1.x	"Lars Kiesow (43)"
M	#780	2016/01/18	"Lars Kiesow"	"Remove static Opencast version from index.html"	lkiesow/matterhorn	index-opencast-version	r/2.1.x	"Greg Logan (47)"
M	#779	2016/01/18	"Sven Stauber"	"MH-11183 Locations search box not implemented"	staubesv/switch-opencast	t/MH-11183-locations-search-bo…	r/2.1.x	"Lars Kiesow (47)"
M	#778	2016/01/15	"Lars Kiesow"	"MH-11280, Fix old Nexus Dependencies"	lkiesow/matterhorn	t/MH-11280-old-nexus	r/2.1.x	"Greg Logan (50)"
	#777	2016/01/15	"Ruben Perez Vazquez"	"LDAP Authentication for 1.6.x"	uni-koeln/matterhorn-uni-k-ln	t/MH-8577-ldap-auth	r/1.6.x	"James Perrin (4)"
D	#776	2016/01/15	"Ruben Perez Vazquez"	"Create working alternative to authenticate users against …"	uni-koeln/matterhorn-uni-k-ln	fix-ldap	r/1.6.x	
M	#775	2016/01/14	"Sven Stauber"	"MH-11156 Users: Search box is not implemented"	staubesv/switch-opencast	t/MH-11156-users-search-box-no…	r/2.1.x	"Lars Kiesow (50)"
M	#774	2016/01/14	"Lars Kiesow"	"MH-11276, Fix HTTP Notification WOH"	lkiesow/matterhorn	t/MH-11276-http-notification-t…	r/2.1.x	"Greg Logan (47)"
M	#773	2016/01/14	"Sven Stauber"	"T/mh 11107 group list pagination not working"	staubesv/switch-opencast	t/MH-11107-group-list-paginati…	r/2.1.x	"Lars Kiesow (47)"
