date close
Sep/2014 400
Oct/2014 4352
Nov/2014 7180
Dec/2014 5859
Jan/2015 6900
Feb/2015 9426
Mar/2015 12666
Apr/2015 18150
May/2015 16588
Jun/2015 15389
Jul/2015 20825
Aug/2015 20098
Sep/2015 40770
Oct/2015 41241
Nov/2015 44793
Dec/2015 50672
Jan/2016 62316
Feb/2016 68423
